# Training-script output capture
# Generated: 2026-05-15T16:57:06
# UUID:      c154dcbf-c1d1-469d-88fa-25e32a90af69
# Label:     training
# Leaf:      /home/mklemmingen/PycharmProjects/migraine-forecasting-shd/experiment/0/headache/full_features/stacked_2xgb_meta_lr/80_20/chrono/HyperparameterTuned/pareto_AUROC_slope/auroc_max
# Captures stdout/stderr written during the wrapped block
# (library messages, warnings, progress bars, etc.).
# Begin capture ----------------------------------------
Loading train and chronologically subsplitting...
train_sub: (3674, 52), cal_sub: (608, 52)
Running pareto_AUROC_slope search (500 trials)...
[I 2026-05-15 16:57:06,350] A new study created in memory with name: no-name-7cfa01ee-b2d4-4377-8977-f9d95f8c2d88
[I 2026-05-15 16:57:37,128] Trial 36 finished with values: [0.6233546851759023, 0.41512815636744377] and parameters: {'n_estimators': 203, 'learning_rate': 0.01471005003927122, 'subsample': 0.9698774473114251, 'colsample_bytree': 0.9509357413523924, 'min_child_weight': 3}.
[I 2026-05-15 16:57:37,890] Trial 37 finished with values: [0.6210818993644747, 0.5910989112601877] and parameters: {'n_estimators': 347, 'learning_rate': 0.16111511355977057, 'subsample': 0.822080324639785, 'colsample_bytree': 0.8118602313424026, 'min_child_weight': 3}.
[I 2026-05-15 16:57:38,320] Trial 38 finished with values: [0.6361100948666847, 0.5037953603064931] and parameters: {'n_estimators': 91, 'learning_rate': 0.21149322814164553, 'subsample': 0.9601672228653322, 'colsample_bytree': 0.8532405829093072, 'min_child_weight': 4}.
[I 2026-05-15 16:57:38,928] Trial 39 finished with values: [0.6491400340128732, 0.49648440706724567] and parameters: {'n_estimators': 207, 'learning_rate': 0.11812030596598909, 'subsample': 0.9588441039810308, 'colsample_bytree': 0.954834569706047, 'min_child_weight': 8}.
[I 2026-05-15 16:57:39,681] Trial 40 finished with values: [0.6340972442731483, 0.3755342384908232] and parameters: {'n_estimators': 339, 'learning_rate': 0.013313275850595153, 'subsample': 0.6646514856378455, 'colsample_bytree': 0.9594216754108317, 'min_child_weight': 7}.
[I 2026-05-15 16:57:40,080] Trial 41 finished with values: [0.6245923688761439, 0.4445742525914107] and parameters: {'n_estimators': 54, 'learning_rate': 0.01412166070620751, 'subsample': 0.8654007076432223, 'colsample_bytree': 0.6020246335384875, 'min_child_weight': 2}.
[I 2026-05-15 16:57:40,822] Trial 42 finished with values: [0.6545340018938484, 0.4970013218576549] and parameters: {'n_estimators': 297, 'learning_rate': 0.10519936117151477, 'subsample': 0.8607845038010402, 'colsample_bytree': 0.689707723784224, 'min_child_weight': 8}.
[I 2026-05-15 16:57:41,428] Trial 43 finished with values: [0.6327131835681383, 0.3816070465490734] and parameters: {'n_estimators': 156, 'learning_rate': 0.030245085073501415, 'subsample': 0.8985965620472096, 'colsample_bytree': 0.8598531596188859, 'min_child_weight': 9}.
[I 2026-05-15 16:57:42,184] Trial 44 finished with values: [0.6488708381884037, 0.3899288253531197] and parameters: {'n_estimators': 346, 'learning_rate': 0.06909724267901692, 'subsample': 0.637469907131237, 'colsample_bytree': 0.7470863212237734, 'min_child_weight': 3}.
[I 2026-05-15 16:57:42,694] Trial 45 finished with values: [0.6538772739385112, 0.41981780951409176] and parameters: {'n_estimators': 160, 'learning_rate': 0.2736872535680783, 'subsample': 0.7572390898667042, 'colsample_bytree': 0.9568186220708453, 'min_child_weight': 7}.
[I 2026-05-15 16:57:43,502] Trial 46 finished with values: [0.6457964060960746, 0.5235293023215337] and parameters: {'n_estimators': 408, 'learning_rate': 0.05526573288655769, 'subsample': 0.8307615538505436, 'colsample_bytree': 0.7970070775275455, 'min_child_weight': 2}.
[I 2026-05-15 16:57:44,312] Trial 47 finished with values: [0.6427133817634523, 0.41341846947142236] and parameters: {'n_estimators': 375, 'learning_rate': 0.025985724173338116, 'subsample': 0.6097263865725815, 'colsample_bytree': 0.858188918362867, 'min_child_weight': 2}.
[I 2026-05-15 16:57:45,161] Trial 48 finished with values: [0.6254647807709487, 0.5900121911826732] and parameters: {'n_estimators': 474, 'learning_rate': 0.25648866468880704, 'subsample': 0.9659457560881795, 'colsample_bytree': 0.7480634801021777, 'min_child_weight': 1}.
[I 2026-05-15 16:57:45,975] Trial 49 finished with values: [0.6604271535780877, 0.34023403925058704] and parameters: {'n_estimators': 468, 'learning_rate': 0.042902233912047165, 'subsample': 0.9866619276174678, 'colsample_bytree': 0.9854479908357011, 'min_child_weight': 9}.
[I 2026-05-15 16:57:46,384] Trial 50 finished with values: [0.6445444829918638, 0.4122656031899729] and parameters: {'n_estimators': 195, 'learning_rate': 0.05838706626832953, 'subsample': 0.9046478461314871, 'colsample_bytree': 0.6950550175969599, 'min_child_weight': 3}.
[I 2026-05-15 16:57:46,924] Trial 51 finished with values: [0.6562021015447365, 0.45846354373305936] and parameters: {'n_estimators': 215, 'learning_rate': 0.08589984533104164, 'subsample': 0.8534118843043579, 'colsample_bytree': 0.8143098736299034, 'min_child_weight': 4}.
[I 2026-05-15 16:57:47,638] Trial 52 finished with values: [0.6299431064799537, 0.6224682015149116] and parameters: {'n_estimators': 433, 'learning_rate': 0.2708160864249968, 'subsample': 0.9329770563201687, 'colsample_bytree': 0.6849356442713105, 'min_child_weight': 2}.
[I 2026-05-15 16:57:48,198] Trial 53 finished with values: [0.6308746939734327, 0.4229794827489616] and parameters: {'n_estimators': 272, 'learning_rate': 0.029385442161128397, 'subsample': 0.9442922333025374, 'colsample_bytree': 0.6027808522124762, 'min_child_weight': 2}.
[I 2026-05-15 16:57:48,924] Trial 54 finished with values: [0.6271963282261149, 0.41134436200015995] and parameters: {'n_estimators': 346, 'learning_rate': 0.017797595772834223, 'subsample': 0.7988994023569542, 'colsample_bytree': 0.82272050498334, 'min_child_weight': 3}.
[I 2026-05-15 16:57:49,601] Trial 55 finished with values: [0.6280976635667053, 0.3954067264116932] and parameters: {'n_estimators': 414, 'learning_rate': 0.24144271975982237, 'subsample': 0.7272013899887455, 'colsample_bytree': 0.6440207698110707, 'min_child_weight': 7}.
[I 2026-05-15 16:57:50,017] Trial 56 finished with values: [0.6317737918947585, 0.3621511740314731] and parameters: {'n_estimators': 91, 'learning_rate': 0.05838706626832953, 'subsample': 0.9601672228653322, 'colsample_bytree': 0.7454518409517176, 'min_child_weight': 4}.
[I 2026-05-15 16:57:50,660] Trial 57 finished with values: [0.6512113543821234, 0.37170993871321356] and parameters: {'n_estimators': 218, 'learning_rate': 0.06951034928701941, 'subsample': 0.9329770563201687, 'colsample_bytree': 0.6388705975083074, 'min_child_weight': 7}.
[I 2026-05-15 16:57:51,188] Trial 58 finished with values: [0.6227431553826982, 0.5017316993845171] and parameters: {'n_estimators': 66, 'learning_rate': 0.11812030596598909, 'subsample': 0.8010716092915446, 'colsample_bytree': 0.9960215400417053, 'min_child_weight': 3}.
[I 2026-05-15 16:57:51,991] Trial 59 finished with values: [0.6416353412053587, 0.3889941251340869] and parameters: {'n_estimators': 459, 'learning_rate': 0.01610352961694889, 'subsample': 0.8073318609454947, 'colsample_bytree': 0.610167650697638, 'min_child_weight': 2}.
[I 2026-05-15 16:57:52,749] Trial 60 finished with values: [0.6370956797521974, 0.6359994612245818] and parameters: {'n_estimators': 346, 'learning_rate': 0.08589984533104164, 'subsample': 0.8534118843043579, 'colsample_bytree': 0.9509492287711822, 'min_child_weight': 1}.
[I 2026-05-15 16:57:53,281] Trial 61 finished with values: [0.6466170741364854, 0.4188661900757289] and parameters: {'n_estimators': 120, 'learning_rate': 0.08330803890301997, 'subsample': 0.8963074471016818, 'colsample_bytree': 0.6254233401144095, 'min_child_weight': 4}.
[I 2026-05-15 16:57:53,964] Trial 62 finished with values: [0.6451017293087411, 0.37934287676450573] and parameters: {'n_estimators': 439, 'learning_rate': 0.10704755834674413, 'subsample': 0.7168578594140873, 'colsample_bytree': 0.7465447373174767, 'min_child_weight': 8}.
[I 2026-05-15 16:57:54,601] Trial 63 finished with values: [0.654216319515988, 0.4262672676046025] and parameters: {'n_estimators': 215, 'learning_rate': 0.08589984533104164, 'subsample': 0.8534118843043579, 'colsample_bytree': 0.8245108790277985, 'min_child_weight': 8}.
[I 2026-05-15 16:57:55,515] Trial 64 finished with values: [0.6369294119040309, 0.6128687493061656] and parameters: {'n_estimators': 468, 'learning_rate': 0.16155001304356414, 'subsample': 0.9866619276174678, 'colsample_bytree': 0.6027808522124762, 'min_child_weight': 9}.
[I 2026-05-15 16:57:56,351] Trial 65 finished with values: [0.6595487584211427, 0.35003639805254333] and parameters: {'n_estimators': 443, 'learning_rate': 0.042902233912047165, 'subsample': 0.9866619276174678, 'colsample_bytree': 0.9854479908357011, 'min_child_weight': 9}.
[I 2026-05-15 16:57:56,928] Trial 66 finished with values: [0.6518459884022156, 0.3776601197642764] and parameters: {'n_estimators': 128, 'learning_rate': 0.10485733570643786, 'subsample': 0.7546941385202149, 'colsample_bytree': 0.9746919954946938, 'min_child_weight': 2}.
[I 2026-05-15 16:57:57,691] Trial 67 finished with values: [0.6390881274235898, 0.38044851676362823] and parameters: {'n_estimators': 465, 'learning_rate': 0.01351182947645082, 'subsample': 0.6783931449676581, 'colsample_bytree': 0.6180909155642152, 'min_child_weight': 4}.
