# Training-script output capture
# Generated: 2026-05-22T18:19:05
# UUID:      fe6a27cf-a795-435c-8f9a-b6a730c5ac0f
# Label:     training
# Leaf:      /home/mklemmingen/PycharmProjects/migraine-forecasting-shd/experiment/0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/pareto_AUROC_slope/auroc_max
# Captures stdout/stderr written during the wrapped block
# (library messages, warnings, progress bars, etc.).
# Begin capture ----------------------------------------
Loading datasets...
Running pareto_AUROC_slope search (500 trials, seed=42)...
[I 2026-05-22 18:19:05,582] A new study created in memory with name: no-name-3a576f92-6b2d-4efd-a1d6-a10d7214ea0d
[I 2026-05-22 18:19:57,567] Trial 68 finished with values: [0.5290022479690081, 1.006193867758307] and parameters: {'n_estimators': 272, 'learning_rate': 0.05917520523090666, 'subsample': 0.7168578594140873, 'colsample_bytree': 0.610167650697638, 'min_child_weight': 5}.
[I 2026-05-22 18:19:58,221] Trial 69 finished with values: [0.5494715510166794, 0.8291074270957817] and parameters: {'n_estimators': 355, 'learning_rate': 0.01058040360169664, 'subsample': 0.8048372233197124, 'colsample_bytree': 0.6905983100791752, 'min_child_weight': 4}.
/home/mklemmingen/PycharmProjects/migraine-forecasting-shd/.venv/lib/python3.13/site-packages/sklearn/linear_model/_sag.py:348: ConvergenceWarning: The max_iter was reached which means the coef_ did not converge
  warnings.warn(
[I 2026-05-22 18:19:58,782] Trial 70 finished with values: [0.5728835624152712, 0.7397799383191719] and parameters: {'n_estimators': 54, 'learning_rate': 0.012184186502221764, 'subsample': 0.8654007076432223, 'colsample_bytree': 0.8404460046972835, 'min_child_weight': 8}.
[I 2026-05-22 18:19:59,438] Trial 71 finished with values: [0.5151176961266463, 1.1971976616457183] and parameters: {'n_estimators': 272, 'learning_rate': 0.028180680291847244, 'subsample': 0.7710164073434198, 'colsample_bytree': 0.7174367377057973, 'min_child_weight': 9}.
[I 2026-05-22 18:20:00,115] Trial 72 finished with values: [0.5470335118028208, 0.848998372320402] and parameters: {'n_estimators': 415, 'learning_rate': 0.019721610970574007, 'subsample': 0.9022204554172195, 'colsample_bytree': 0.6915192661966489, 'min_child_weight': 1}.
[I 2026-05-22 18:20:00,905] Trial 73 finished with values: [0.5056683129383094, 1.9418988201935412] and parameters: {'n_estimators': 378, 'learning_rate': 0.10519936117151477, 'subsample': 0.6296178606936361, 'colsample_bytree': 0.9468289274320415, 'min_child_weight': 2}.
[I 2026-05-22 18:20:01,699] Trial 74 finished with values: [0.5273784641197758, 1.4889119779380184] and parameters: {'n_estimators': 408, 'learning_rate': 0.09836162684900028, 'subsample': 0.9046478461314871, 'colsample_bytree': 0.6950550175969599, 'min_child_weight': 8}.
[I 2026-05-22 18:20:02,298] Trial 75 finished with values: [0.5374344024070912, 0.8157231211682061] and parameters: {'n_estimators': 294, 'learning_rate': 0.040381768820718394, 'subsample': 0.9022204554172195, 'colsample_bytree': 0.9652962210225885, 'min_child_weight': 1}.
[I 2026-05-22 18:20:03,057] Trial 76 finished with values: [0.5476424886744777, 0.8133827699944712] and parameters: {'n_estimators': 355, 'learning_rate': 0.01607123851203988, 'subsample': 0.8048372233197124, 'colsample_bytree': 0.7465447373174767, 'min_child_weight': 7}.
[I 2026-05-22 18:20:03,778] Trial 77 finished with values: [0.4837507546839518, 2.7625655581574344] and parameters: {'n_estimators': 280, 'learning_rate': 0.1538583627271404, 'subsample': 0.8006065178748798, 'colsample_bytree': 0.6180909155642152, 'min_child_weight': 8}.
[I 2026-05-22 18:20:04,534] Trial 78 finished with values: [0.5637479464405983, 0.9256871494246489] and parameters: {'n_estimators': 355, 'learning_rate': 0.01058040360169664, 'subsample': 0.8599855723111061, 'colsample_bytree': 0.9232481518257668, 'min_child_weight': 7}.
[I 2026-05-22 18:20:05,107] Trial 79 finished with values: [0.5431023590800509, 0.856570611810503] and parameters: {'n_estimators': 128, 'learning_rate': 0.05388108577817234, 'subsample': 0.7546941385202149, 'colsample_bytree': 0.9637281608315128, 'min_child_weight': 3}.
[I 2026-05-22 18:20:05,729] Trial 80 finished with values: [0.5468443658507359, 0.8576791745740096] and parameters: {'n_estimators': 355, 'learning_rate': 0.01058040360169664, 'subsample': 0.8048372233197124, 'colsample_bytree': 0.8807867509030813, 'min_child_weight': 7}.
[I 2026-05-22 18:20:06,608] Trial 81 finished with values: [0.5039296201093295, 3.167558234026427] and parameters: {'n_estimators': 408, 'learning_rate': 0.2063696403063293, 'subsample': 0.7168578594140873, 'colsample_bytree': 0.8245108790277985, 'min_child_weight': 5}.
[I 2026-05-22 18:20:07,452] Trial 82 finished with values: [0.5508525747769732, 0.8092427353296807] and parameters: {'n_estimators': 487, 'learning_rate': 0.017303875834205888, 'subsample': 0.9718790609370292, 'colsample_bytree': 0.7351980627406143, 'min_child_weight': 4}.
[I 2026-05-22 18:20:07,891] Trial 83 finished with values: [0.5716338138033178, 0.742010797069726] and parameters: {'n_estimators': 103, 'learning_rate': 0.01471005003927122, 'subsample': 0.9043140194467589, 'colsample_bytree': 0.9509357413523924, 'min_child_weight': 1}.
[I 2026-05-22 18:20:08,522] Trial 84 finished with values: [0.527498110116662, 1.2383688653822673] and parameters: {'n_estimators': 207, 'learning_rate': 0.1131225105716033, 'subsample': 0.9588441039810308, 'colsample_bytree': 0.8245108790277985, 'min_child_weight': 8}.
[I 2026-05-22 18:20:09,187] Trial 85 finished with values: [0.5327171096103862, 0.923385137459768] and parameters: {'n_estimators': 215, 'learning_rate': 0.019721610970574007, 'subsample': 0.8313120563984696, 'colsample_bytree': 0.836965827544817, 'min_child_weight': 1}.
[I 2026-05-22 18:20:09,677] Trial 86 finished with values: [0.5659313056291885, 0.9336014836869786] and parameters: {'n_estimators': 66, 'learning_rate': 0.04872420129560894, 'subsample': 0.9046478461314871, 'colsample_bytree': 0.6950550175969599, 'min_child_weight': 10}.
[I 2026-05-22 18:20:10,280] Trial 87 finished with values: [0.5367856519206344, 1.003049200086425] and parameters: {'n_estimators': 294, 'learning_rate': 0.023545774516299134, 'subsample': 0.7988994023569542, 'colsample_bytree': 0.6027808522124762, 'min_child_weight': 3}.
