# Training-script output capture
# Generated: 2026-05-15T16:08:40
# UUID:      16a07a39-3159-4897-aac8-053fdeceafd4
# Label:     training
# Leaf:      /home/mklemmingen/PycharmProjects/migraine-forecasting-shd/experiment/0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/pareto_AUROC_slope/auroc_max
# Captures stdout/stderr written during the wrapped block
# (library messages, warnings, progress bars, etc.).
# Begin capture ----------------------------------------
Loading datasets...
Running pareto_AUROC_slope search (500 trials, seed=42)...
[I 2026-05-15 16:08:40,759] A new study created in memory with name: no-name-0526f3e2-6fa1-4095-addd-f7ab717a82ce
[I 2026-05-15 16:09:22,129] Trial 54 finished with values: [0.5845845911502477, 0.7577287220110225] and parameters: {'n_estimators': 242, 'learning_rate': 0.017797595772834223, 'subsample': 0.7988994023569542, 'colsample_bytree': 0.82272050498334, 'min_child_weight': 6}.
[I 2026-05-15 16:09:22,835] Trial 55 finished with values: [0.6137648707345678, 0.5794485497082089] and parameters: {'n_estimators': 414, 'learning_rate': 0.24144271975982237, 'subsample': 0.7272013899887455, 'colsample_bytree': 0.6440207698110707, 'min_child_weight': 7}.
[I 2026-05-15 16:09:23,330] Trial 56 finished with values: [0.5883330175249367, 0.7619062102678601] and parameters: {'n_estimators': 54, 'learning_rate': 0.05838706626832953, 'subsample': 0.8654007076432223, 'colsample_bytree': 0.7454518409517176, 'min_child_weight': 2}.
[I 2026-05-15 16:09:24,115] Trial 57 finished with values: [0.5993417620690348, 0.9908909364101726] and parameters: {'n_estimators': 404, 'learning_rate': 0.06951034928701941, 'subsample': 0.9329770563201687, 'colsample_bytree': 0.6388705975083074, 'min_child_weight': 7}.
[I 2026-05-15 16:09:24,639] Trial 58 finished with values: [0.5882934318287854, 0.7709422295377264] and parameters: {'n_estimators': 66, 'learning_rate': 0.11812030596598909, 'subsample': 0.8010716092915446, 'colsample_bytree': 0.9960215400417053, 'min_child_weight': 3}.
[I 2026-05-15 16:09:25,509] Trial 59 finished with values: [0.6009469458964409, 0.7571506326370678] and parameters: {'n_estimators': 487, 'learning_rate': 0.01610352961694889, 'subsample': 0.8073318609454947, 'colsample_bytree': 0.8598531596188859, 'min_child_weight': 9}.
[I 2026-05-15 16:09:26,158] Trial 60 finished with values: [0.5919397936569653, 1.081534580744727] and parameters: {'n_estimators': 297, 'learning_rate': 0.08589984533104164, 'subsample': 0.8534118843043579, 'colsample_bytree': 0.9509492287711822, 'min_child_weight': 1}.
[I 2026-05-15 16:09:26,629] Trial 61 finished with values: [0.5720429940631959, 0.9594061605039954] and parameters: {'n_estimators': 120, 'learning_rate': 0.08330803890301997, 'subsample': 0.8963074471016818, 'colsample_bytree': 0.6254233401144095, 'min_child_weight': 4}.
[I 2026-05-15 16:09:27,339] Trial 62 finished with values: [0.6149556285919923, 0.5806612562472981] and parameters: {'n_estimators': 439, 'learning_rate': 0.10704755834674413, 'subsample': 0.7272013899887455, 'colsample_bytree': 0.6440207698110707, 'min_child_weight': 8}.
[I 2026-05-15 16:09:27,759] Trial 63 finished with values: [0.5912741562236511, 0.6801118311145731] and parameters: {'n_estimators': 64, 'learning_rate': 0.08710745900492396, 'subsample': 0.7257423924305306, 'colsample_bytree': 0.8245108790277985, 'min_child_weight': 8}.
[I 2026-05-15 16:09:28,591] Trial 64 finished with values: [0.622046560531409, 0.7455564408879879] and parameters: {'n_estimators': 468, 'learning_rate': 0.13780336485751998, 'subsample': 0.9866619276174678, 'colsample_bytree': 0.7433862914177091, 'min_child_weight': 9}.
