# Training-script output capture
# Generated: 2026-05-15T17:08:26
# UUID:      716c8db6-9a0e-4578-a977-90a28c4d0948
# Label:     training
# Leaf:      /home/mklemmingen/PycharmProjects/migraine-forecasting-shd/experiment/0/headache/full_features/stacked_2xgb_meta_lr/80_20/stratified/HyperparameterTuned/pareto_AUROC_slope/auroc_max
# Captures stdout/stderr written during the wrapped block
# (library messages, warnings, progress bars, etc.).
# Begin capture ----------------------------------------
Loading train and chronologically subsplitting...
train_sub: (3432, 52), cal_sub: (180, 52)
Running pareto_AUROC_slope search (500 trials)...
[I 2026-05-15 17:08:53,361] Trial 31 finished with values: [0.46526292591816787, 3.695218038423344] and parameters: {'n_estimators': 159, 'learning_rate': 0.09836162684900028, 'subsample': 0.9046478461314871, 'colsample_bytree': 0.6950550175969599, 'min_child_weight': 8}.
[I 2026-05-15 17:08:54,033] Trial 32 finished with values: [0.47405271028254903, 7.67922424135035] and parameters: {'n_estimators': 215, 'learning_rate': 0.08589984533104164, 'subsample': 0.8534118843043579, 'colsample_bytree': 0.8143098736299034, 'min_child_weight': 1}.
[I 2026-05-15 17:08:54,743] Trial 33 finished with values: [0.45044705406600566, 5.019353868102552] and parameters: {'n_estimators': 426, 'learning_rate': 0.029773579612263783, 'subsample': 0.6746074041599417, 'colsample_bytree': 0.6163100566219055, 'min_child_weight': 6}.
[I 2026-05-15 17:08:55,487] Trial 34 finished with values: [0.44284262556439974, 3.0411446127007347] and parameters: {'n_estimators': 355, 'learning_rate': 0.01058040360169664, 'subsample': 0.8048372233197124, 'colsample_bytree': 0.6905983100791752, 'min_child_weight': 7}.
[I 2026-05-15 17:08:55,949] Trial 35 finished with values: [0.5052466194200065, 6.012393963512333] and parameters: {'n_estimators': 128, 'learning_rate': 0.10485733570643786, 'subsample': 0.7546941385202149, 'colsample_bytree': 0.9746919954946938, 'min_child_weight': 2}.
[I 2026-05-15 17:08:56,454] Trial 36 finished with values: [0.43152379206814684, 3.488842602916634] and parameters: {'n_estimators': 203, 'learning_rate': 0.01471005003927122, 'subsample': 0.9698774473114251, 'colsample_bytree': 0.9509357413523924, 'min_child_weight': 3}.
[I 2026-05-15 17:08:57,115] Trial 37 finished with values: [0.5250789577805708, 2.560601722921871] and parameters: {'n_estimators': 347, 'learning_rate': 0.16111511355977057, 'subsample': 0.822080324639785, 'colsample_bytree': 0.8118602313424026, 'min_child_weight': 3}.
[I 2026-05-15 17:08:57,549] Trial 38 finished with values: [0.4508683464832658, 22.968668865604517] and parameters: {'n_estimators': 91, 'learning_rate': 0.21149322814164553, 'subsample': 0.9601672228653322, 'colsample_bytree': 0.8532405829093072, 'min_child_weight': 4}.
[I 2026-05-15 17:08:58,054] Trial 39 finished with values: [0.5570742563887725, 27.777336736166774] and parameters: {'n_estimators': 207, 'learning_rate': 0.11812030596598909, 'subsample': 0.9588441039810308, 'colsample_bytree': 0.954834569706047, 'min_child_weight': 8}.
[I 2026-05-15 17:08:58,774] Trial 40 finished with values: [0.44183316459526134, 3.4120235971070003] and parameters: {'n_estimators': 339, 'learning_rate': 0.013313275850595153, 'subsample': 0.6646514856378455, 'colsample_bytree': 0.9594216754108317, 'min_child_weight': 7}.
[I 2026-05-15 17:08:59,158] Trial 41 finished with values: [0.3801400380533445, 5.747029041078981] and parameters: {'n_estimators': 54, 'learning_rate': 0.01412166070620751, 'subsample': 0.8654007076432223, 'colsample_bytree': 0.6020246335384875, 'min_child_weight': 2}.
[I 2026-05-15 17:08:59,871] Trial 42 finished with values: [0.4537106229344133, 3.721273003363349] and parameters: {'n_estimators': 297, 'learning_rate': 0.10519936117151477, 'subsample': 0.8607845038010402, 'colsample_bytree': 0.689707723784224, 'min_child_weight': 8}.
[I 2026-05-15 17:09:00,436] Trial 43 finished with values: [0.4327973281199088, 3.178859117743567] and parameters: {'n_estimators': 156, 'learning_rate': 0.030245085073501415, 'subsample': 0.8985965620472096, 'colsample_bytree': 0.8598531596188859, 'min_child_weight': 9}.
