# Training-script output capture
# Generated: 2026-05-22T18:01:34
# UUID:      1935df1c-5f3c-4cd4-a503-6b124ef6b950
# Label:     training
# Leaf:      /home/mklemmingen/PycharmProjects/migraine-forecasting-shd/experiment/0/headache/full_features/stacked_2xgb_meta_lr/80_20/patient/HyperparameterTuned/pareto_AUROC_slope/auroc_max
# Captures stdout/stderr written during the wrapped block
# (library messages, warnings, progress bars, etc.).
# Begin capture ----------------------------------------
Loading train and chronologically subsplitting...
train_sub: (3384, 52), cal_sub: (234, 52)
Running pareto_AUROC_slope search (500 trials)...
[I 2026-05-22 18:01:34,792] A new study created in memory with name: no-name-cfc6847f-6cef-441f-a688-bc7597780ed4
[I 2026-05-22 18:02:01,836] Trial 31 finished with values: [0.5283472815144308, 3.622825511174444] and parameters: {'n_estimators': 159, 'learning_rate': 0.09836162684900028, 'subsample': 0.9046478461314871, 'colsample_bytree': 0.6950550175969599, 'min_child_weight': 8}.
[I 2026-05-22 18:02:02,455] Trial 32 finished with values: [0.5609088992096426, 1.5393166396437414] and parameters: {'n_estimators': 215, 'learning_rate': 0.08589984533104164, 'subsample': 0.8534118843043579, 'colsample_bytree': 0.8143098736299034, 'min_child_weight': 1}.
[I 2026-05-22 18:02:03,129] Trial 33 finished with values: [0.547087524066358, 3.6365107096008793] and parameters: {'n_estimators': 426, 'learning_rate': 0.029773579612263783, 'subsample': 0.6746074041599417, 'colsample_bytree': 0.6163100566219055, 'min_child_weight': 6}.
[I 2026-05-22 18:02:03,758] Trial 34 finished with values: [0.5409536888164824, 1.7328947211882735] and parameters: {'n_estimators': 355, 'learning_rate': 0.01058040360169664, 'subsample': 0.8048372233197124, 'colsample_bytree': 0.6905983100791752, 'min_child_weight': 7}.
[I 2026-05-22 18:02:04,235] Trial 35 finished with values: [0.5167895442899175, 4.500690498419042] and parameters: {'n_estimators': 128, 'learning_rate': 0.10485733570643786, 'subsample': 0.7546941385202149, 'colsample_bytree': 0.9746919954946938, 'min_child_weight': 2}.
[I 2026-05-22 18:02:04,860] Trial 36 finished with values: [0.5328249627661515, 1.6039142828923552] and parameters: {'n_estimators': 203, 'learning_rate': 0.01471005003927122, 'subsample': 0.9698774473114251, 'colsample_bytree': 0.9509357413523924, 'min_child_weight': 3}.
[I 2026-05-22 18:02:05,587] Trial 37 finished with values: [0.41778003336948916, 6.922788798554722] and parameters: {'n_estimators': 347, 'learning_rate': 0.16111511355977057, 'subsample': 0.822080324639785, 'colsample_bytree': 0.8118602313424026, 'min_child_weight': 3}.
[I 2026-05-22 18:02:06,102] Trial 38 finished with values: [0.48349707697111943, 6.530307096569781] and parameters: {'n_estimators': 91, 'learning_rate': 0.21149322814164553, 'subsample': 0.9601672228653322, 'colsample_bytree': 0.8532405829093072, 'min_child_weight': 4}.
[I 2026-05-22 18:02:06,722] Trial 39 finished with values: [0.5605950023479951, 14.285522103534799] and parameters: {'n_estimators': 207, 'learning_rate': 0.11812030596598909, 'subsample': 0.9588441039810308, 'colsample_bytree': 0.954834569706047, 'min_child_weight': 8}.
[I 2026-05-22 18:02:07,348] Trial 40 finished with values: [0.555729757367516, 1.6199610550743446] and parameters: {'n_estimators': 339, 'learning_rate': 0.013313275850595153, 'subsample': 0.6646514856378455, 'colsample_bytree': 0.9594216754108317, 'min_child_weight': 7}.
