# Training-script output capture
# Generated: 2026-05-22T17:37:48
# UUID:      8aded700-6c5f-4111-8c31-aecba43bcd38
# Label:     training
# Leaf:      /home/mklemmingen/PycharmProjects/migraine-forecasting-shd/experiment/0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/pareto_AUROC_slope/auroc_max
# Captures stdout/stderr written during the wrapped block
# (library messages, warnings, progress bars, etc.).
# Begin capture ----------------------------------------
Loading datasets...
Running pareto_AUROC_slope search (500 trials, seed=42)...
[I 2026-05-22 17:37:48,624] A new study created in memory with name: no-name-06416289-7dc7-47e7-a08f-eee50dbc6281
[I 2026-05-22 17:38:21,347] Trial 40 finished with values: [0.579730063247531, 0.7081986100998885] and parameters: {'n_estimators': 339, 'learning_rate': 0.013313275850595153, 'subsample': 0.6646514856378455, 'colsample_bytree': 0.9594216754108317, 'min_child_weight': 7}.
[I 2026-05-22 17:38:21,644] Trial 41 finished with values: [0.5760820391489836, 0.8602349138423706] and parameters: {'n_estimators': 54, 'learning_rate': 0.01412166070620751, 'subsample': 0.8654007076432223, 'colsample_bytree': 0.6020246335384875, 'min_child_weight': 2}.
[I 2026-05-22 17:38:22,306] Trial 42 finished with values: [0.5942867992002384, 0.5962783543050143] and parameters: {'n_estimators': 297, 'learning_rate': 0.10519936117151477, 'subsample': 0.8607845038010402, 'colsample_bytree': 0.689707723784224, 'min_child_weight': 8}.
[I 2026-05-22 17:38:22,804] Trial 43 finished with values: [0.5822856786112309, 0.5986126765339673] and parameters: {'n_estimators': 156, 'learning_rate': 0.030245085073501415, 'subsample': 0.8985965620472096, 'colsample_bytree': 0.8598531596188859, 'min_child_weight': 9}.
[I 2026-05-22 17:38:23,550] Trial 44 finished with values: [0.5860949409135177, 0.6974467535786023] and parameters: {'n_estimators': 346, 'learning_rate': 0.06909724267901692, 'subsample': 0.637469907131237, 'colsample_bytree': 0.7470863212237734, 'min_child_weight': 3}.
[I 2026-05-22 17:38:24,141] Trial 45 finished with values: [0.5997286801725046, 0.6115444859172767] and parameters: {'n_estimators': 160, 'learning_rate': 0.2736872535680783, 'subsample': 0.7572390898667042, 'colsample_bytree': 0.9568186220708453, 'min_child_weight': 7}.
[I 2026-05-22 17:38:24,834] Trial 46 finished with values: [0.6010323780872489, 0.7028701273659546] and parameters: {'n_estimators': 408, 'learning_rate': 0.05526573288655769, 'subsample': 0.8307615538505436, 'colsample_bytree': 0.7970070775275455, 'min_child_weight': 2}.
[I 2026-05-22 17:38:25,471] Trial 47 finished with values: [0.5795245100755343, 0.6871438442890114] and parameters: {'n_estimators': 375, 'learning_rate': 0.025985724173338116, 'subsample': 0.6097263865725815, 'colsample_bytree': 0.858188918362867, 'min_child_weight': 2}.
[I 2026-05-22 17:38:26,343] Trial 48 finished with values: [0.6221264227265252, 0.7255108819526732] and parameters: {'n_estimators': 474, 'learning_rate': 0.25648866468880704, 'subsample': 0.9659457560881795, 'colsample_bytree': 0.7480634801021777, 'min_child_weight': 1}.
[I 2026-05-22 17:38:27,016] Trial 49 finished with values: [0.581127657250187, 0.5901531312553769] and parameters: {'n_estimators': 468, 'learning_rate': 0.042902233912047165, 'subsample': 0.9866619276174678, 'colsample_bytree': 0.9854479908357011, 'min_child_weight': 9}.
[I 2026-05-22 17:38:27,539] Trial 50 finished with values: [0.5914248124684423, 0.6642465152525687] and parameters: {'n_estimators': 105, 'learning_rate': 0.05388108577817234, 'subsample': 0.822080324639785, 'colsample_bytree': 0.8118602313424026, 'min_child_weight': 3}.
[I 2026-05-22 17:38:28,145] Trial 51 finished with values: [0.5805015345091247, 0.6129009408555506] and parameters: {'n_estimators': 215, 'learning_rate': 0.08589984533104164, 'subsample': 0.8534118843043579, 'colsample_bytree': 0.8143098736299034, 'min_child_weight': 4}.
[I 2026-05-22 17:38:28,957] Trial 52 finished with values: [0.6017452247898065, 1.1923951723591701] and parameters: {'n_estimators': 433, 'learning_rate': 0.2708160864249968, 'subsample': 0.9329770563201687, 'colsample_bytree': 0.6849356442713105, 'min_child_weight': 2}.
[I 2026-05-22 17:38:29,590] Trial 53 finished with values: [0.5833940730476133, 0.6063679792307038] and parameters: {'n_estimators': 272, 'learning_rate': 0.029385442161128397, 'subsample': 0.9442922333025374, 'colsample_bytree': 0.6027808522124762, 'min_child_weight': 2}.
[I 2026-05-22 17:38:30,327] Trial 54 finished with values: [0.5796807647842025, 0.5707242372078797] and parameters: {'n_estimators': 346, 'learning_rate': 0.017797595772834223, 'subsample': 0.8550229885420852, 'colsample_bytree': 0.82272050498334, 'min_child_weight': 3}.
[I 2026-05-22 17:38:30,984] Trial 55 finished with values: [0.6029911306962463, 0.7574965030102766] and parameters: {'n_estimators': 414, 'learning_rate': 0.24144271975982237, 'subsample': 0.7272013899887455, 'colsample_bytree': 0.6440207698110707, 'min_child_weight': 7}.
[I 2026-05-22 17:38:31,516] Trial 56 finished with values: [0.5803666523418265, 0.7779606415801146] and parameters: {'n_estimators': 91, 'learning_rate': 0.01412166070620751, 'subsample': 0.9601672228653322, 'colsample_bytree': 0.6020246335384875, 'min_child_weight': 4}.
[I 2026-05-22 17:38:32,269] Trial 57 finished with values: [0.5801597530247855, 0.44085857880644114] and parameters: {'n_estimators': 404, 'learning_rate': 0.06951034928701941, 'subsample': 0.9329770563201687, 'colsample_bytree': 0.6388705975083074, 'min_child_weight': 7}.
[I 2026-05-22 17:38:32,771] Trial 58 finished with values: [0.5873191354943404, 0.30982397673247364] and parameters: {'n_estimators': 203, 'learning_rate': 0.11812030596598909, 'subsample': 0.9698774473114251, 'colsample_bytree': 0.9960215400417053, 'min_child_weight': 3}.
[I 2026-05-22 17:38:33,509] Trial 59 finished with values: [0.5764216007937137, 0.6910756466139161] and parameters: {'n_estimators': 487, 'learning_rate': 0.01610352961694889, 'subsample': 0.8073318609454947, 'colsample_bytree': 0.610167650697638, 'min_child_weight': 2}.
[I 2026-05-22 17:38:34,087] Trial 60 finished with values: [0.5866891819794449, 0.45725668114024376] and parameters: {'n_estimators': 297, 'learning_rate': 0.08589984533104164, 'subsample': 0.8534118843043579, 'colsample_bytree': 0.9509492287711822, 'min_child_weight': 1}.
[I 2026-05-22 17:38:34,646] Trial 61 finished with values: [0.5921303428308338, 0.5975983689938957] and parameters: {'n_estimators': 120, 'learning_rate': 0.25648866468880704, 'subsample': 0.8963074471016818, 'colsample_bytree': 0.7480634801021777, 'min_child_weight': 1}.
[I 2026-05-22 17:38:35,359] Trial 62 finished with values: [0.5761035501570078, 0.6645385933567642] and parameters: {'n_estimators': 347, 'learning_rate': 0.10704755834674413, 'subsample': 0.7168578594140873, 'colsample_bytree': 0.7465447373174767, 'min_child_weight': 8}.
[I 2026-05-22 17:38:35,961] Trial 63 finished with values: [0.5636243373365922, 0.7175027167860804] and parameters: {'n_estimators': 215, 'learning_rate': 0.08589984533104164, 'subsample': 0.8534118843043579, 'colsample_bytree': 0.8245108790277985, 'min_child_weight': 8}.
[I 2026-05-22 17:38:36,730] Trial 64 finished with values: [0.5974194182463684, 0.6493951561465734] and parameters: {'n_estimators': 468, 'learning_rate': 0.16155001304356414, 'subsample': 0.9866619276174678, 'colsample_bytree': 0.6027808522124762, 'min_child_weight': 9}.
[I 2026-05-22 17:38:37,543] Trial 65 finished with values: [0.5877336228449639, 0.7022703962202457] and parameters: {'n_estimators': 487, 'learning_rate': 0.028180680291847244, 'subsample': 0.6390688456025535, 'colsample_bytree': 0.8736932106048627, 'min_child_weight': 5}.
[I 2026-05-22 17:38:38,113] Trial 66 finished with values: [0.5795544740671563, 0.6903983201355681] and parameters: {'n_estimators': 128, 'learning_rate': 0.10485733570643786, 'subsample': 0.7546941385202149, 'colsample_bytree': 0.9746919954946938, 'min_child_weight': 2}.
[I 2026-05-22 17:38:38,859] Trial 67 finished with values: [0.5852395677416098, 0.7390164787332296] and parameters: {'n_estimators': 465, 'learning_rate': 0.01351182947645082, 'subsample': 0.6783931449676581, 'colsample_bytree': 0.6180909155642152, 'min_child_weight': 1}.
[I 2026-05-22 17:38:39,441] Trial 68 finished with values: [0.5826441890135906, 0.6365013951319491] and parameters: {'n_estimators': 272, 'learning_rate': 0.05917520523090666, 'subsample': 0.7168578594140873, 'colsample_bytree': 0.610167650697638, 'min_child_weight': 5}.
[I 2026-05-22 17:38:40,068] Trial 69 finished with values: [0.5817001143980216, 0.674633192050542] and parameters: {'n_estimators': 355, 'learning_rate': 0.01058040360169664, 'subsample': 0.8048372233197124, 'colsample_bytree': 0.6905983100791752, 'min_child_weight': 4}.
[I 2026-05-22 17:38:40,731] Trial 70 finished with values: [0.5643060193761074, 1.1615185840593418] and parameters: {'n_estimators': 238, 'learning_rate': 0.16155001304356414, 'subsample': 0.6479461469334731, 'colsample_bytree': 0.6027808522124762, 'min_child_weight': 6}.
[I 2026-05-22 17:38:41,392] Trial 71 finished with values: [0.5791807158929484, 0.669414310812901] and parameters: {'n_estimators': 272, 'learning_rate': 0.028180680291847244, 'subsample': 0.7710164073434198, 'colsample_bytree': 0.7174367377057973, 'min_child_weight': 9}.
[I 2026-05-22 17:38:42,172] Trial 72 finished with values: [0.5859140905836563, 0.6334280446387072] and parameters: {'n_estimators': 415, 'learning_rate': 0.019721610970574007, 'subsample': 0.9659457560881795, 'colsample_bytree': 0.7480634801021777, 'min_child_weight': 1}.
[I 2026-05-22 17:38:42,662] Trial 73 finished with values: [0.589539331243601, 0.6033002516499687] and parameters: {'n_estimators': 207, 'learning_rate': 0.10519936117151477, 'subsample': 0.9588441039810308, 'colsample_bytree': 0.9468289274320415, 'min_child_weight': 8}.
[I 2026-05-22 17:38:43,281] Trial 74 finished with values: [0.5851507475525308, 0.5847295323100749] and parameters: {'n_estimators': 408, 'learning_rate': 0.09836162684900028, 'subsample': 0.9046478461314871, 'colsample_bytree': 0.6950550175969599, 'min_child_weight': 8}.
[I 2026-05-22 17:38:43,886] Trial 75 finished with values: [0.5736353325125817, 0.7234508664348691] and parameters: {'n_estimators': 294, 'learning_rate': 0.040381768820718394, 'subsample': 0.9022204554172195, 'colsample_bytree': 0.9652962210225885, 'min_child_weight': 1}.
[I 2026-05-22 17:38:44,507] Trial 76 finished with values: [0.5851359943966989, 0.6195445230441543] and parameters: {'n_estimators': 203, 'learning_rate': 0.01607123851203988, 'subsample': 0.9698774473114251, 'colsample_bytree': 0.7465447373174767, 'min_child_weight': 3}.
[I 2026-05-22 17:38:45,182] Trial 77 finished with values: [0.5958370352808388, 0.8899042661917399] and parameters: {'n_estimators': 280, 'learning_rate': 0.1538583627271404, 'subsample': 0.8006065178748798, 'colsample_bytree': 0.9746919954946938, 'min_child_weight': 8}.
[I 2026-05-22 17:38:45,809] Trial 78 finished with values: [0.5754974214149791, 0.6510819859627236] and parameters: {'n_estimators': 355, 'learning_rate': 0.01058040360169664, 'subsample': 0.8599855723111061, 'colsample_bytree': 0.6254233401144095, 'min_child_weight': 4}.
[I 2026-05-22 17:38:46,616] Trial 79 finished with values: [0.5896887117484706, 1.0425405343695675] and parameters: {'n_estimators': 348, 'learning_rate': 0.16111511355977057, 'subsample': 0.8080272084711243, 'colsample_bytree': 0.8118602313424026, 'min_child_weight': 3}.
[I 2026-05-22 17:38:47,316] Trial 80 finished with values: [0.5843794183865284, 0.6944210574351641] and parameters: {'n_estimators': 355, 'learning_rate': 0.01058040360169664, 'subsample': 0.8048372233197124, 'colsample_bytree': 0.8807867509030813, 'min_child_weight': 7}.
[I 2026-05-22 17:38:47,883] Trial 81 finished with values: [0.593571102209094, 1.1364925175377563] and parameters: {'n_estimators': 408, 'learning_rate': 0.2063696403063293, 'subsample': 0.6296178606936361, 'colsample_bytree': 0.7970070775275455, 'min_child_weight': 2}.
