leaf_path,addition,autogluon_runtime_s,span_s,earliest_training_ts,latest_results_ts,n_training_logs,n_results_files,multi_day_gap,notes
0/headache/full_features/stacked_2xgb_meta_lr/80_20/patient/HyperparameterTuned/pareto_AUROC_slope/slope_closest,0,,9,2026-05-22T18:07:08,2026-05-22T18:07:17,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/80_20/patient/HyperparameterTuned/single_AUROC/HP020,0,,436805,2026-05-22T18:07:18,2026-05-27T19:27:23,1,4,True,multi_day_gap
0/headache/full_features/stacked_2xgb_meta_lr/80_20/patient/HyperparameterTuned/single_AUROC/HP050,0,,10,2026-05-22T18:12:46,2026-05-22T18:12:56,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/80_20/patient/HyperparameterTuned/single_AUROC/HP100,0,,10,2026-05-22T18:12:57,2026-05-22T18:13:07,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/80_20/patient/HyperparameterTuned/single_AUROC/HP200,0,,10,2026-05-22T18:13:07,2026-05-22T18:13:17,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/80_20/patient/HyperparameterTuned/single_AUROC/HP500,0,,10,2026-05-22T18:13:17,2026-05-22T18:13:27,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/80_20/patient/NonHP,0,,11,2026-05-22T14:59:13,2026-05-22T14:59:24,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/80_20/stratified/HyperparameterTuned/pareto_AUROC_slope/auroc_max,0,,8866,2026-05-15T17:08:26,2026-05-15T19:36:12,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/80_20/stratified/HyperparameterTuned/pareto_AUROC_slope/knee,0,,8508,2026-05-15T17:14:23,2026-05-15T19:36:11,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/80_20/stratified/HyperparameterTuned/pareto_AUROC_slope/slope_closest,0,,8505,2026-05-15T17:14:26,2026-05-15T19:36:11,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/80_20/stratified/HyperparameterTuned/single_AUROC/HP020,0,,8505,2026-05-15T17:14:29,2026-05-15T19:36:14,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/80_20/stratified/HyperparameterTuned/single_AUROC/HP050,0,,8189,2026-05-15T17:19:57,2026-05-15T19:36:26,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/80_20/stratified/HyperparameterTuned/single_AUROC/HP100,0,,8200,2026-05-15T17:19:59,2026-05-15T19:36:39,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/80_20/stratified/HyperparameterTuned/single_AUROC/HP200,0,,8208,2026-05-15T17:20:02,2026-05-15T19:36:50,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/80_20/stratified/HyperparameterTuned/single_AUROC/HP500,0,,8207,2026-05-15T17:20:04,2026-05-15T19:36:51,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/80_20/stratified/NonHP,0,,242958,2026-05-13T00:07:37,2026-05-15T19:36:55,4,6,True,multi_day_gap
0/headache/no_rolling_features/stacked_2xgb_meta_lr/70_15_15/chrono/NonHP,0,,860221,2026-05-13T00:07:39,2026-05-22T23:04:40,9,19,True,multi_day_gap
0/headache/no_rolling_features/stacked_2xgb_meta_lr/70_15_15/patient/NonHP,0,,11,2026-05-22T14:59:25,2026-05-22T14:59:36,1,1,False,
0/headache/no_rolling_features/stacked_2xgb_meta_lr/70_15_15/stratified/NonHP,0,,1281048,2026-05-13T00:07:41,2026-05-27T19:58:29,3,9,True,multi_day_gap
0/headache/no_rolling_features/stacked_2xgb_meta_lr/70_30/chrono/NonHP,0,,1280173,2026-05-13T00:07:43,2026-05-27T19:43:56,4,9,True,multi_day_gap
0/headache/no_rolling_features/stacked_2xgb_meta_lr/70_30/patient/NonHP,0,,10,2026-05-22T14:59:37,2026-05-22T14:59:47,1,1,False,
0/headache/no_rolling_features/stacked_2xgb_meta_lr/70_30/stratified/NonHP,0,,241150,2026-05-13T00:07:45,2026-05-15T19:06:55,3,6,True,multi_day_gap
0/headache/no_rolling_features/stacked_2xgb_meta_lr/80_20/chrono/NonHP,0,,241156,2026-05-13T00:07:47,2026-05-15T19:07:03,3,6,True,multi_day_gap
0/headache/no_rolling_features/stacked_2xgb_meta_lr/80_20/patient/NonHP,0,,449957,2026-05-22T14:59:47,2026-05-27T19:59:04,1,4,True,multi_day_gap
0/headache/no_rolling_features/stacked_2xgb_meta_lr/80_20/stratified/NonHP,0,,241161,2026-05-13T00:07:50,2026-05-15T19:07:11,3,6,True,multi_day_gap
0/headache/spano_features/blended_xgb_lr_spano2026/70_15_15/chrono/NonHP,0,,241166,2026-05-13T00:07:52,2026-05-15T19:07:18,8,14,True,multi_day_gap
0/headache/spano_features/stacked_2xgb_meta_lr/70_15_15/chrono/NonHP,0,,241168,2026-05-13T00:07:58,2026-05-15T19:07:26,7,12,True,multi_day_gap
0/headache/spano_features/stacked_2xgb_meta_lr/70_15_15/patient/NonHP,0,,9,2026-05-22T14:59:58,2026-05-22T15:00:07,1,1,False,
0/headache/spano_features/stacked_2xgb_meta_lr/70_15_15/stratified/NonHP,0,,1279267,2026-05-13T00:08:00,2026-05-27T19:29:07,3,9,True,multi_day_gap
0/headache/spano_features/stacked_2xgb_meta_lr/70_30/chrono/NonHP,0,,1279207,2026-05-13T00:08:02,2026-05-27T19:28:09,3,8,True,multi_day_gap
0/headache/spano_features/stacked_2xgb_meta_lr/70_30/patient/NonHP,0,,448172,2026-05-22T15:00:07,2026-05-27T19:29:39,1,4,True,multi_day_gap
0/headache/spano_features/stacked_2xgb_meta_lr/70_30/stratified/NonHP,0,,241185,2026-05-13T00:08:04,2026-05-15T19:07:49,3,5,True,multi_day_gap
0/headache/spano_features/stacked_2xgb_meta_lr/80_20/chrono/NonHP,0,,241191,2026-05-13T00:08:06,2026-05-15T19:07:57,3,5,True,multi_day_gap
0/headache/spano_features/stacked_2xgb_meta_lr/80_20/patient/NonHP,0,,11,2026-05-22T15:00:18,2026-05-22T15:00:29,1,1,False,
0/headache/spano_features/stacked_2xgb_meta_lr/80_20/stratified/NonHP,0,,861703,2026-05-13T00:08:08,2026-05-22T23:29:51,3,6,True,multi_day_gap
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/pareto_AUPRC_slope/auprc_max,0,,6500,2026-05-15T17:20:39,2026-05-15T19:08:59,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/pareto_AUPRC_slope/knee,0,,6145,2026-05-15T17:26:42,2026-05-15T19:09:07,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/pareto_AUPRC_slope/slope_closest,0,,6150,2026-05-15T17:26:44,2026-05-15T19:09:14,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/pareto_AUROC_slope/auroc_max,0,,6155,2026-05-15T17:26:47,2026-05-15T19:09:22,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/pareto_AUROC_slope/knee,0,,5802,2026-05-15T17:32:47,2026-05-15T19:09:29,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/pareto_AUROC_slope/slope_closest,0,,5808,2026-05-15T17:32:50,2026-05-15T19:09:38,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/single_AUROC/HP020,0,,5813,2026-05-15T17:32:52,2026-05-15T19:09:45,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/single_AUROC/HP050,0,,5465,2026-05-15T17:38:47,2026-05-15T19:09:52,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/single_AUROC/HP100,0,,5468,2026-05-15T17:38:50,2026-05-15T19:09:58,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/single_AUROC/HP200,0,,5474,2026-05-15T17:38:53,2026-05-15T19:10:07,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/single_AUROC/HP500,0,,5479,2026-05-15T17:38:55,2026-05-15T19:10:14,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/NonHP,0,,860126,2026-05-13T00:08:10,2026-05-22T23:03:36,6,13,True,multi_day_gap
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/pareto_AUPRC_slope/auprc_max,0,,317,2026-05-22T18:13:27,2026-05-22T18:18:44,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/pareto_AUPRC_slope/knee,0,,10,2026-05-22T18:18:44,2026-05-22T18:18:54,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/pareto_AUPRC_slope/slope_closest,0,,10,2026-05-22T18:18:54,2026-05-22T18:19:04,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/pareto_AUROC_slope/auroc_max,0,,313,2026-05-22T18:19:05,2026-05-22T18:24:18,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/pareto_AUROC_slope/knee,0,,10,2026-05-22T18:24:19,2026-05-22T18:24:29,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/pareto_AUROC_slope/slope_closest,0,,442755,2026-05-22T18:24:30,2026-05-27T21:23:45,1,4,True,multi_day_gap
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/single_AUROC/HP020,0,,374,2026-05-22T18:24:41,2026-05-22T18:30:55,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/single_AUROC/HP050,0,,11,2026-05-22T18:30:56,2026-05-22T18:31:07,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/single_AUROC/HP100,0,,12,2026-05-22T18:31:08,2026-05-22T18:31:20,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/single_AUROC/HP200,0,,13,2026-05-22T18:31:20,2026-05-22T18:31:33,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/single_AUROC/HP500,0,,11,2026-05-22T18:31:33,2026-05-22T18:31:44,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/patient/NonHP,0,,11,2026-05-22T15:00:29,2026-05-22T15:00:40,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/stratified/HyperparameterTuned/pareto_AUPRC_slope/auprc_max,0,,5489,2026-05-15T17:39:00,2026-05-15T19:10:29,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/stratified/HyperparameterTuned/pareto_AUPRC_slope/knee,0,,5147,2026-05-15T17:44:50,2026-05-15T19:10:37,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/stratified/HyperparameterTuned/pareto_AUPRC_slope/slope_closest,0,,5151,2026-05-15T17:44:53,2026-05-15T19:10:44,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/stratified/HyperparameterTuned/pareto_AUROC_slope/auroc_max,0,,5156,2026-05-15T17:44:55,2026-05-15T19:10:51,1,1,False,
0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/stratified/HyperparameterTuned/pareto_AUROC_slope/knee,0,,4835,2026-05-15T17:50:24,2026-05-15T19:10:59,1,1,False,
