# Training-script output capture
# Generated: 2026-05-22T17:49:55
# UUID:      43fd5017-a108-4ba7-a024-5b09ffeca326
# Label:     training
# Leaf:      /home/mklemmingen/PycharmProjects/migraine-forecasting-shd/experiment/0/headache/full_features/stacked_2xgb_meta_lr/70_30/patient/HyperparameterTuned/pareto_AUROC_slope/auroc_max
# Captures stdout/stderr written during the wrapped block
# (library messages, warnings, progress bars, etc.).
# Begin capture ----------------------------------------
Loading train and chronologically subsplitting...
train_sub: (3071, 52), cal_sub: (158, 52)
Running pareto_AUROC_slope search (500 trials)...
[I 2026-05-22 17:49:55,976] A new study created in memory with name: no-name-a56427ba-5482-46b1-8ef8-2ed3cc201f13
[I 2026-05-22 17:50:36,386] Trial 53 finished with values: [0.5983209478899134, 1.3590078788409898] and parameters: {'n_estimators': 120, 'learning_rate': 0.029385442161128397, 'subsample': 0.6137554084460873, 'colsample_bytree': 0.9637281608315128, 'min_child_weight': 8}.
[I 2026-05-22 17:50:37,038] Trial 54 finished with values: [0.5641543163094889, 5.054051425902781] and parameters: {'n_estimators': 242, 'learning_rate': 0.017797595772834223, 'subsample': 0.7988994023569542, 'colsample_bytree': 0.82272050498334, 'min_child_weight': 6}.
[I 2026-05-22 17:50:37,564] Trial 55 finished with values: [0.4378634934669418, 14.421617080787428] and parameters: {'n_estimators': 414, 'learning_rate': 0.24144271975982237, 'subsample': 0.7272013899887455, 'colsample_bytree': 0.6440207698110707, 'min_child_weight': 7}.
[I 2026-05-22 17:50:38,051] Trial 56 finished with values: [0.5227179908214391, 4.890930493395928] and parameters: {'n_estimators': 54, 'learning_rate': 0.05838706626832953, 'subsample': 0.8654007076432223, 'colsample_bytree': 0.7454518409517176, 'min_child_weight': 2}.
[I 2026-05-22 17:50:38,709] Trial 57 finished with values: [0.44117738902221654, 2.188317339807816] and parameters: {'n_estimators': 218, 'learning_rate': 0.06951034928701941, 'subsample': 0.9208787923016158, 'colsample_bytree': 0.6388705975083074, 'min_child_weight': 7}.
[I 2026-05-22 17:50:39,192] Trial 58 finished with values: [0.4724278276002414, 10.463812389716647] and parameters: {'n_estimators': 66, 'learning_rate': 0.11812030596598909, 'subsample': 0.8010716092915446, 'colsample_bytree': 0.9960215400417053, 'min_child_weight': 3}.
[I 2026-05-22 17:50:40,000] Trial 59 finished with values: [0.465636183739632, 11.021685309041382] and parameters: {'n_estimators': 459, 'learning_rate': 0.01610352961694889, 'subsample': 0.8073318609454947, 'colsample_bytree': 0.610167650697638, 'min_child_weight': 2}.
[I 2026-05-22 17:50:40,694] Trial 60 finished with values: [0.46128680546783996, 4.07960528670577] and parameters: {'n_estimators': 297, 'learning_rate': 0.01471005003927122, 'subsample': 0.9698774473114251, 'colsample_bytree': 0.9509492287711822, 'min_child_weight': 3}.
[I 2026-05-22 17:50:41,179] Trial 61 finished with values: [0.44801990793370106, 2.627082261557706] and parameters: {'n_estimators': 120, 'learning_rate': 0.25648866468880704, 'subsample': 0.8963074471016818, 'colsample_bytree': 0.7480634801021777, 'min_child_weight': 1}.
[I 2026-05-22 17:50:41,914] Trial 62 finished with values: [0.4296254192805916, 3.09537192538388] and parameters: {'n_estimators': 347, 'learning_rate': 0.10704755834674413, 'subsample': 0.7168578594140873, 'colsample_bytree': 0.7465447373174767, 'min_child_weight': 8}.
[I 2026-05-22 17:50:42,399] Trial 63 finished with values: [0.4669456022904298, 2.4198737123426595] and parameters: {'n_estimators': 64, 'learning_rate': 0.08710745900492396, 'subsample': 0.7257423924305306, 'colsample_bytree': 0.8245108790277985, 'min_child_weight': 8}.
[I 2026-05-22 17:50:43,195] Trial 64 finished with values: [0.4178888959061373, 3.8209260086397934] and parameters: {'n_estimators': 468, 'learning_rate': 0.16155001304356414, 'subsample': 0.9866619276174678, 'colsample_bytree': 0.6027808522124762, 'min_child_weight': 9}.
[I 2026-05-22 17:50:44,044] Trial 65 finished with values: [0.41687227204468585, 2.121645150369714] and parameters: {'n_estimators': 487, 'learning_rate': 0.028180680291847244, 'subsample': 0.6390688456025535, 'colsample_bytree': 0.8736932106048627, 'min_child_weight': 5}.
[I 2026-05-22 17:50:44,590] Trial 66 finished with values: [0.4251296436641264, 3.2250451720590227] and parameters: {'n_estimators': 128, 'learning_rate': 0.10485733570643786, 'subsample': 0.7546941385202149, 'colsample_bytree': 0.9746919954946938, 'min_child_weight': 2}.
[I 2026-05-22 17:50:45,283] Trial 67 finished with values: [0.4674318976043114, 0.8910768544037946] and parameters: {'n_estimators': 465, 'learning_rate': 0.01351182947645082, 'subsample': 0.6783931449676581, 'colsample_bytree': 0.6180909155642152, 'min_child_weight': 4}.
[I 2026-05-22 17:50:46,098] Trial 68 finished with values: [0.6067974330905365, 1.8209130396547597] and parameters: {'n_estimators': 474, 'learning_rate': 0.25648866468880704, 'subsample': 0.7168578594140873, 'colsample_bytree': 0.7480634801021777, 'min_child_weight': 5}.
[I 2026-05-22 17:50:46,807] Trial 69 finished with values: [0.5384218910080979, 2.9406686399671154] and parameters: {'n_estimators': 355, 'learning_rate': 0.01058040360169664, 'subsample': 0.8048372233197124, 'colsample_bytree': 0.6905983100791752, 'min_child_weight': 4}.
[I 2026-05-22 17:50:47,276] Trial 70 finished with values: [0.5886783714369921, 1.4919694161478687] and parameters: {'n_estimators': 54, 'learning_rate': 0.012184186502221764, 'subsample': 0.8654007076432223, 'colsample_bytree': 0.8404460046972835, 'min_child_weight': 8}.
[I 2026-05-22 17:50:47,828] Trial 71 finished with values: [0.5038489607455124, 3.564173489283977] and parameters: {'n_estimators': 272, 'learning_rate': 0.2536999076681772, 'subsample': 0.7710164073434198, 'colsample_bytree': 0.7174367377057973, 'min_child_weight': 9}.
[I 2026-05-22 17:50:48,499] Trial 72 finished with values: [0.5736149705977293, 15.048227040394806] and parameters: {'n_estimators': 415, 'learning_rate': 0.01412166070620751, 'subsample': 0.9659457560881795, 'colsample_bytree': 0.7480634801021777, 'min_child_weight': 1}.
[I 2026-05-22 17:50:49,185] Trial 73 finished with values: [0.4192076123110605, 3.390575257495885] and parameters: {'n_estimators': 378, 'learning_rate': 0.10519936117151477, 'subsample': 0.6296178606936361, 'colsample_bytree': 0.9468289274320415, 'min_child_weight': 2}.
[I 2026-05-22 17:50:49,711] Trial 74 finished with values: [0.5867133664547458, 1.7721823919199067] and parameters: {'n_estimators': 218, 'learning_rate': 0.01058040360169664, 'subsample': 0.8048372233197124, 'colsample_bytree': 0.6905983100791752, 'min_child_weight': 7}.
[I 2026-05-22 17:50:50,314] Trial 75 finished with values: [0.442491895078102, 2.3241829515794827] and parameters: {'n_estimators': 294, 'learning_rate': 0.040381768820718394, 'subsample': 0.9022204554172195, 'colsample_bytree': 0.9652962210225885, 'min_child_weight': 1}.
[I 2026-05-22 17:50:51,069] Trial 76 finished with values: [0.5095408263511711, 8.887950911515587] and parameters: {'n_estimators': 355, 'learning_rate': 0.01607123851203988, 'subsample': 0.8048372233197124, 'colsample_bytree': 0.7465447373174767, 'min_child_weight': 7}.
[I 2026-05-22 17:50:51,715] Trial 77 finished with values: [0.4671082270220201, 2.1170131625563284] and parameters: {'n_estimators': 280, 'learning_rate': 0.05917520523090666, 'subsample': 0.8006065178748798, 'colsample_bytree': 0.6180909155642152, 'min_child_weight': 8}.
[I 2026-05-22 17:50:52,437] Trial 78 finished with values: [0.543894993894994, 2.734603612152978] and parameters: {'n_estimators': 355, 'learning_rate': 0.01058040360169664, 'subsample': 0.8599855723111061, 'colsample_bytree': 0.6254233401144095, 'min_child_weight': 4}.
[I 2026-05-22 17:50:53,067] Trial 79 finished with values: [0.4347304674890882, 2.313426498530114] and parameters: {'n_estimators': 348, 'learning_rate': 0.05388108577817234, 'subsample': 0.8080272084711243, 'colsample_bytree': 0.9637281608315128, 'min_child_weight': 3}.
[I 2026-05-22 17:50:53,829] Trial 80 finished with values: [0.48641846659088045, 28.13549932379068] and parameters: {'n_estimators': 339, 'learning_rate': 0.013313275850595153, 'subsample': 0.6646514856378455, 'colsample_bytree': 0.8807867509030813, 'min_child_weight': 7}.
[I 2026-05-22 17:50:54,486] Trial 81 finished with values: [0.5240668813944677, 13.306436371595897] and parameters: {'n_estimators': 408, 'learning_rate': 0.2063696403063293, 'subsample': 0.7168578594140873, 'colsample_bytree': 0.7970070775275455, 'min_child_weight': 5}.
[I 2026-05-22 17:50:54,950] Trial 82 finished with values: [0.5663627320954907, 22.816250337793807] and parameters: {'n_estimators': 156, 'learning_rate': 0.023545774516299134, 'subsample': 0.7988994023569542, 'colsample_bytree': 0.7351980627406143, 'min_child_weight': 4}.
[I 2026-05-22 17:50:55,799] Trial 83 finished with values: [0.5703617742410846, 2.7118156049453765] and parameters: {'n_estimators': 414, 'learning_rate': 0.16111511355977057, 'subsample': 0.6390688456025535, 'colsample_bytree': 0.8118602313424026, 'min_child_weight': 1}.
[I 2026-05-22 17:50:56,289] Trial 84 finished with values: [0.5424645278093554, 7.993363263287575] and parameters: {'n_estimators': 59, 'learning_rate': 0.1131225105716033, 'subsample': 0.9329770563201687, 'colsample_bytree': 0.8245108790277985, 'min_child_weight': 2}.
[I 2026-05-22 17:50:56,905] Trial 85 finished with values: [0.4956815853367577, 4.982186077997071] and parameters: {'n_estimators': 414, 'learning_rate': 0.019721610970574007, 'subsample': 0.8313120563984696, 'colsample_bytree': 0.836965827544817, 'min_child_weight': 1}.
